group_id,split,full_prompt_len,r_end_pos,prefix_len,r_end_token_id,T0_prefix_sha,T1_prefix_sha,T2_prefix_sha,prefix_ids_identical,repeat_max_abs_hidden_diff
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,dev,116,98,99,3305,44e827db0c3c4d645282d7c54a80ddbe3b9024f7919cb4bce458e35ddcd1ffc1,44e827db0c3c4d645282d7c54a80ddbe3b9024f7919cb4bce458e35ddcd1ffc1,44e827db0c3c4d645282d7c54a80ddbe3b9024f7919cb4bce458e35ddcd1ffc1,1,0.0
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,dev,120,102,103,69885,5654c82ca877578240b042a7bbfa91c80a38eb857222516fefbaaf27baf36e0a,5654c82ca877578240b042a7bbfa91c80a38eb857222516fefbaaf27baf36e0a,5654c82ca877578240b042a7bbfa91c80a38eb857222516fefbaaf27baf36e0a,1,0.0
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,dev,123,106,107,72581,08492856b86b68ad4f1273795c542a9a214a1d2d51a4248675db542f7dcf8f51,08492856b86b68ad4f1273795c542a9a214a1d2d51a4248675db542f7dcf8f51,08492856b86b68ad4f1273795c542a9a214a1d2d51a4248675db542f7dcf8f51,1,0.0
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,dev,132,113,114,1276,d91d52ed20889bd95d64657204e76df3116852d61859dcafb0f636239824fc7a,d91d52ed20889bd95d64657204e76df3116852d61859dcafb0f636239824fc7a,d91d52ed20889bd95d64657204e76df3116852d61859dcafb0f636239824fc7a,1,0.0
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,dev,119,100,101,73667,fa342f5d4dc85526187bca6d6d81066d938d43b8716e6c80fc06ad8bcaa289be,fa342f5d4dc85526187bca6d6d81066d938d43b8716e6c80fc06ad8bcaa289be,fa342f5d4dc85526187bca6d6d81066d938d43b8716e6c80fc06ad8bcaa289be,1,0.0
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,dev,115,96,97,388,84fc577d6f4459ed97a1b50a0c4f6dccfa610ea89e9421c7fadf66154fb28c67,84fc577d6f4459ed97a1b50a0c4f6dccfa610ea89e9421c7fadf66154fb28c67,84fc577d6f4459ed97a1b50a0c4f6dccfa610ea89e9421c7fadf66154fb28c67,1,0.0
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,dev,124,107,108,27775,6fe6e216cfda110852ff5c99bee78a36d42f0c061f4c2822aac79ffc7955d98d,6fe6e216cfda110852ff5c99bee78a36d42f0c061f4c2822aac79ffc7955d98d,6fe6e216cfda110852ff5c99bee78a36d42f0c061f4c2822aac79ffc7955d98d,1,0.0
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,dev,128,110,111,1849,9c093e4843d604b6f66bb179f5c1cb382f1440cc83aaf245ea6e5c56e3fcba4c,9c093e4843d604b6f66bb179f5c1cb382f1440cc83aaf245ea6e5c56e3fcba4c,9c093e4843d604b6f66bb179f5c1cb382f1440cc83aaf245ea6e5c56e3fcba4c,1,0.0
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,dev,114,97,98,70054,d4e1c89dcd07710af01c5c00abc1f959270b82c75f4b62b9ff20f62d4fc844df,d4e1c89dcd07710af01c5c00abc1f959270b82c75f4b62b9ff20f62d4fc844df,d4e1c89dcd07710af01c5c00abc1f959270b82c75f4b62b9ff20f62d4fc844df,1,0.0
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,dev,136,118,119,7015,411502cab64bba7d03ec0a9e839938b0676cf6dc2ee2be54b0c4d7d4eb5c75ec,411502cab64bba7d03ec0a9e839938b0676cf6dc2ee2be54b0c4d7d4eb5c75ec,411502cab64bba7d03ec0a9e839938b0676cf6dc2ee2be54b0c4d7d4eb5c75ec,1,0.0
