source_group_id,cell,base_pred,hook_passive_pred,label_match,base_d_raw,hook_passive_d_raw,d_raw_abs_diff
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,OO,A,A,True,16.453125,16.453125,0.0
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,OS,B,B,True,-21.875,-21.875,0.0
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,SO,B,B,True,-13.875,-13.875,0.0
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,SS,B,B,True,-14.125,-14.125,0.0
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,OO,A,A,True,16.0078125,16.0078125,0.0
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,OS,B,B,True,-20.84375,-20.84375,0.0
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,SO,B,B,True,-16.15234375,-16.15234375,0.0
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,SS,B,B,True,-17.130859375,-17.130859375,0.0
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,OO,A,A,True,16.378219604492188,16.378219604492188,0.0
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,OS,B,B,True,-19.15625,-19.15625,0.0
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,SO,B,B,True,-4.5625,-4.5625,0.0
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,SS,B,B,True,-3.0,-3.0,0.0
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,OO,A,A,True,18.109375,18.109375,0.0
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,OS,B,B,True,-19.71875,-19.71875,0.0
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,SO,B,B,True,-17.0625,-17.0625,0.0
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,SS,B,B,True,-14.21875,-14.21875,0.0
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,OO,A,A,True,18.46875,18.46875,0.0
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,OS,B,B,True,-21.75,-21.75,0.0
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,SO,B,B,True,-13.125,-13.125,0.0
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,SS,B,B,True,-16.33984375,-16.33984375,0.0
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,OO,A,A,True,13.765625,13.765625,0.0
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,OS,B,B,True,-20.09375,-20.09375,0.0
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,SO,B,B,True,-18.0,-18.0,0.0
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,SS,A,A,True,8.0625,8.0625,0.0
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,OO,A,A,True,16.8359375,16.8359375,0.0
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,OS,B,B,True,-19.171875,-19.171875,0.0
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,SO,B,B,True,-4.0625,-4.0625,0.0
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,SS,B,B,True,-11.0,-11.0,0.0
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,OO,A,A,True,14.59375,14.59375,0.0
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,OS,B,B,True,-21.40625,-21.40625,0.0
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,SO,B,B,True,-18.578125,-18.578125,0.0
